peca,qnt,sg
A9909970345,4,632005
A0009897507,39,632005
A9909970345,2,632004
A4760940104,1,634601
A0009890401,39,634601
A0029970371,1,6358
A0024319215,1,6358
A4570160221,6,636202
A4601800009,1,636201
A0004779915,1,636201
A5410900251,1,636201
A9909893500,1,636201
A9602605665,1,633509
A95832300850097,1,633510
A5410900251,1,633501
A9909893500,1,633501
N007603022100,1,633501
A0040943504,1,633501
A4760940104,1,633501
A4601800009,1,633501
A0009890401,39,633501
A9408350447,1,633502
A0219978947,2,633503
N007603022100,1,622301
A4760940104,1,622301
A0040943504,1,622301
A4601800009,1,622301
A0009890401,39,622301
A0040943504,1,655801
A4760940104,1,655801
A4601800009,1,655801
A5410900251,1,655801
A9909893500,1,655801
N007603022100,1,655801
A0272501901,1,5969
A95832300850097,1,5969
A0029893403,16,632004
A9408350447,1,632002
A0000181080,1,634801
A0002501562,1,634801
A9302600263,1,634801
A0024319215,1,634801
A4601300715,1,634801
N007603022100,1,636201
A0009890401,39,636201
A0029893403,4,579701
N308673012003,2,579701
A0025451034,1,6364
A6654297635,1,634801
A9584201133,1,634801
A9584208636,1,634801
A0029986901,1,634801
A0000180780,1,634801
A0009892851,1,633503
A9433340180,2,633503
A0139977346,2,633503
A0009890401,39,651101
A4570160221,6,651102
A9909893500,1,652501
N007603022100,1,652501
A0009890401,39,652501
A0008380475,1,651101
A0008309818,1,651101
A4601800009,1,651101
A0004779915,1,651101
A5410900251,1,651101
A9909893500,1,651101
N007603022100,1,651101
A0009890401,39,655801
A9408350447,1,655802
N007603024105,4,655804
N007603022100,1,655401
A0019897201,39,655401
A0040943504,1,652501
A4760940104,1,652501
A4601800009,1,652501
A5410900251,1,652501
A99947715150098,1,652501
A0000181080,1,6298
A0029986901,1,6298
A0000181080,1,6247
A0061530728,1,650301
A4570160221,6,658302
A0040943504,1,658301
A4760940104,1,658301
A4601800009,1,658301
A5410900251,1,658301
N007603022100,1,658301
A0009890401,39,658301
A9302600263,1,6091
N912009035100,2,6091
A0029921501,2,6091
A4220320271,10,6091
A3459977490,30,6091
A0029986901,1,6247
A0000181080,1,653801
A0040943504,1,657601
A4760940104,1,657601
A5410900251,1,657601
A9909893500,1,657601
N007603022100,1,657601
A0009890401,39,657601
A4570160221,6,657602
A0009890401,39,659001
A4570160221,6,659502
A9408350447,1,659002
A4601800009,1,659001
A0008380475,1,659001
A0008309818,1,659001
A0004779915,1,659001
A5410900251,1,659001
A9909893500,1,659001
N007603022100,1,659001
A4601800009,1,660201
A4570160221,6,660202
A0040943504,1,659501
A4760940104,1,659501
A4601800009,1,659501
A5410900251,1,659501
A9909893500,1,659501
N007603022100,1,659501
A0009890401,39,659501
A0009892851,1,660402
A0139977346,2,660402
A9433340180,2,660402
A0009890401,39,660201
N007603022100,1,660201
A9909893500,1,660201
A5410900251,1,660201
A0040943504,1,660201
A4760940104,1,660201
A0009890401,39,660401
N007603022100,1,660401
A9909893500,1,660401
A5410900251,1,660401
A0040943504,1,660401
A4760940104,1,660401
A4601800009,1,660401
A95832300850097,1,633511
A02599750470064,1,6091
A0272501901,1,6091
A00182176600064,1,6229
A00383001080064,1,6229
A0029986901,1,653801
A0040943504,1,660301
A4760940104,1,660301
A4601800009,1,660301
A5410900251,1,660301
A3459977490,5,6379
A0058200815,1,6379
A9588320115,1,632206
A4574600280,1,6258
A3909890003,1,6258
A00383001080064,1,6299
A4601800009,1,640401
A0004779915,1,640401
A54109001510098,1,640401
A9909893500,1,640401
N007603022100,1,640401
A0009890401,39,640401
A9909970345,2,639304
A95832300850097,1,639305
A0009890925,17,639306
A9433340180,2,640403
A0139977346,2,640403
A0009892851,1,640403
A9909970345,2,640402
A0029893403,16,640402
A0008380475,1,640401
A0008309818,1,640401
A0009890401,39,639301
A4601800009,1,639301
A4760940104,1,639301
A0040943504,1,639301
N007603022100,1,639301
A9909893500,1,639301
A5410900251,1,639301
A0004295695,1,639302
A9408350447,1,639302
A0029893403,16,639304
A9909893500,1,660301
N007603022100,1,660301
A0009890401,39,660301
A4570160221,6,660302
A0000181080,1,6444
A0029893403,16,644803
A0029986901,1,6444
A0002361780,1,645701
A0009897507,39,644802
A3844627171,2,6440
A9434600004,1,6440
A4570160221,6,641202
A0029986901,1,6543
A9408350447,1,644804
A9584903719,1,644901
A0009902852,4,620101
A0009902850,6,620101
A0019904605,6,620101
A0019902005,2,620101
A3459977490,20,622303
